RegionID,SizeRank,RegionName,RegionType,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
394597,228,"Florence, SC",msa,SC,186976,186904,186528,186528,191600,192633,190667,187317,189633,190617,189133,184150,181166,175967,175633,177950,181067,181067,179383,181300,186933,188600,190933,194117,201150,200450,198600,199933,209867,209900,212900,212983,224617,227617,225933,219267,212417,212417,214017,219532,221232,226298,234633,241300,244000,240300,235300,225967,219967,218300,224967,230000,236333,235000,235567,232533,233850,233250,233250,234600,234300
394680,229,"Hilo, HI",msa,HI,456500,457500,456500,445667,440333,440500,450666,454333,464000,474417,487750,491250,491000,485983,481150,468317,471333,475333,490333,492333,505000,506333,507667,507667,511000,514333,511000,507667,521262,547928,581562,597967,597967,590167,577983,575983,575483,586000,588000,591300,584967,582633,582667,583833,574167,565667,572500,586000,611167,618167,625000,621667,628333,630000,628000,626333,630667,636986,641953,654286,672467
395118,230,"St. Cloud, MN",msa,MN,217567,224233,231567,240933,242600,242600,241567,241567,241567,236567,231600,228267,228300,233267,236633,241633,248300,250267,251750,248450,249783,249933,249600,249300,250967,251267,256567,268233,279917,286616,283283,281600,282600,285633,288667,284333,277967,273300,281600,291600,299900,298183,303183,303217,304933,296600,293233,289750,288083,288083,293266,304933,318300,328300,333333,331650,323283,313249,308083,307283,305617
395011,231,"Racine, WI",msa,WI,203267,202533,209017,218717,227783,232933,233267,229933,217467,199967,184967,179100,183233,183267,189933,199933,214933,226633,228817,221317,208733,198217,195683,194600,192300,190083,188717,187717,191300,196333,204633,204967,206633,208333,211667,211633,209967,211617,220617,231450,248117,254117,264917,268267,274967,275000,274333,271000,263483,262450,267417,283233,293233,299600,299616,299616,298283,294633,286333,279667,273333
394380,232,"Bend, OR",msa,OR,500815,502150,495483,495667,499308,512642,524475,537500,549333,560333,580333,,622667,613000,,588300,611300,632967,664650,679967,696633,696650,698000,711167,712500,712667,707833,716500,733000,737667,737667,721300,696633,673300,656333,651167,649167,655833,662667,679665,706332,741332,758833,762483,758650,756150,744500,736000,726667,729083,733067,752400,774650,788650,788650,771983,759667,752000,752000,746967,744633
395047,233,"Saginaw, MI",msa,MI,113933,112267,111567,112417,116317,121317,125500,126600,128283,129917,129933,128250,124917,124100,125767,132133,139633,146300,148300,144933,141600,139900,138267,134633,129667,127817,129800,138100,147767,157750,164417,164250,162583,159100,156117,152650,147733,144700,140533,142267,148933,152933,155300,151967,153967,151600,151600,151083,148597,148597,149931,157417,167417,176917,181950,184617,185933,185900,179600,171300,166300
395202,234,"Warner Robins, GA",msa,GA,180600,180933,183967,186083,191050,193217,193467,193000,191133,190433,184433,180800,175833,177150,181883,192517,192700,197600,192967,199533,196717,198883,198800,195617,192900,190783,194983,206920,217553,227387,232300,233967,229933,229967,234100,243800,245449,245466,246116,253800,262983,267667,268333,268083,272750,269417,268083,263383,260046,256630,251663,251667,251633,257967,266300,270000,267000,261667,259333,257750,256417
395151,235,"Terre Haute, IN",msa,IN,99617,100133,100467,110450,123117,136450,139784,136600,132517,127517,125517,124567,123350,125350,127550,130433,133133,135950,138817,139450,139467,143267,144600,141917,133583,128917,128267,131633,138300,144950,149950,149950,149933,149933,148300,149150,147483,149117,149633,155783,164117,171117,173267,167467,164100,158283,162267,160600,164783,163300,166483,168650,173617,177100,178267,176600,176600,176417,174750,169783,169933
395162,236,"Torrington, CT",msa,CT,351567,349900,353267,359617,365983,370983,373150,376783,381750,385233,387933,395300,399667,403333,399300,399600,399900,399900,399600,396267,394933,394933,393267,391267,389933,394950,392483,387150,386833,395967,402967,403267,408300,412300,412300,403967,403267,414950,431617,448300,459650,462950,459300,463800,467133,473800,482100,488467,481800,459333,446333,462999,482998,498665,492298,488783,489450,495817,499300,507967,507967
395009,237,"Punta Gorda, FL",msa,FL,282666,281333,276300,272933,271233,269900,269600,267900,266267,263083,261450,263283,263133,259833,254633,256633,261533,259867,254833,249933,249967,253300,256633,256600,253267,249900,259600,272933,,303267,313300,320133,320150,313483,303283,291633,291600,301600,316600,329217,335883,339183,339900,339900,341600,344967,351667,356983,363317,364983,364565,358231,353198,349867,349867,343233,337408,332742,338708,344600,349267
394386,239,"Billings, MT",msa,MT,275633,274000,274300,278133,286467,298133,309933,319917,319950,321450,321467,324800,323317,311317,302317,296500,309833,318833,326333,325000,329667,337333,342333,345533,351200,357117,365917,370900,392983,411300,425983,422467,412450,404450,401800,401800,398433,396267,402933,412950,426583,435250,450267,453633,457333,452300,451783,444433,437767,435783,440767,447467,444967,441633,434967,432967,427967,426300,424967,423308,424767
395018,240,"Redding, CA",msa,CA,319233,319000,322600,329567,334900,341600,346600,358217,364583,364217,360600,360600,359300,359633,361633,374600,386267,394567,396783,396750,396450,397950,399617,399917,406267,414633,427500,430833,438767,434267,427933,413333,408300,404633,402600,399117,399117,399150,399000,401000,409667,418333,424783,429450,427750,422633,409600,405967,405300,405000,408333,414333,424633,426633,424467,420833,419149,414633,411383,404733,403050
